Running as unit: kivou-173-import-diagnostic.service; invocation ID: 4f6848fbf4b54b53b3f76edc9515c2b3
import time: self [us] | cumulative | imported package
import time:       883 |       4177 |             sqlalchemy.util.typing
import time:       855 |      46211 |           sqlalchemy.util._collections
import time:        98 |         98 |                   concurrent
import time:       499 |        499 |                   concurrent.futures._base
import time:       145 |        741 |                 concurrent.futures
import time:        34 |         34 |                   _heapq
import time:       166 |        199 |                 heapq
import time:       487 |        487 |                   signal
import time:        63 |         63 |                   fcntl
import time:        68 |         68 |                   msvcrt
import time:        36 |         36 |                   _posixsubprocess
import time:       774 |       1426 |                 subprocess
import time:      1488 |       1488 |                   _ssl
import time:      1858 |       3345 |                 ssl
import time:       200 |        200 |                 asyncio.constants
import time:       102 |        102 |                 asyncio.coroutines
import time:       148 |        148 |                     _contextvars
import time:        90 |        238 |                   contextvars
import time:       104 |        104 |                   asyncio.format_helpers
import time:       125 |        125 |                     asyncio.base_futures
import time:       154 |        154 |                     asyncio.exceptions
import time:        90 |         90 |                     asyncio.base_tasks
import time:       376 |        744 |                   _asyncio
import time:       445 |       1529 |                 asyncio.events
import time:       188 |        188 |                 asyncio.futures
import time:       125 |        125 |                 asyncio.protocols
import time:       194 |        194 |                   asyncio.transports
import time:        78 |         78 |                   asyncio.log
import time:       596 |        868 |                 asyncio.sslproto
import time:        75 |         75 |                     asyncio.mixins
import time:       357 |        432 |                   asyncio.locks
import time:       318 |        318 |                     asyncio.timeouts
import time:       344 |        661 |                   asyncio.tasks
import time:       229 |       1320 |                 asyncio.staggered
import time:       136 |        136 |                 asyncio.trsock
import time:       910 |      11083 |               asyncio.base_events
import time:       222 |        222 |               asyncio.runners
import time:       196 |        196 |               asyncio.queues
import time:       316 |        316 |               asyncio.streams
import time:       187 |        187 |               asyncio.subprocess
import time:       111 |        111 |               asyncio.taskgroups
import time:        64 |         64 |               asyncio.threads
import time:       201 |        201 |                 asyncio.base_subprocess
import time:       445 |        445 |                 asyncio.selector_events
import time:       711 |       1356 |               asyncio.unix_events
import time:       252 |      13784 |             asyncio
import time:      1510 |       1510 |               greenlet._greenlet
import time:       158 |       1668 |             greenlet
import time:      1788 |       1788 |               sqlalchemy.util.langhelpers
import time:       277 |       2064 |             sqlalchemy.util._concurrency_py3k
import time:       227 |      17742 |           sqlalchemy.util.concurrency
import time:       246 |        246 |           sqlalchemy.util.deprecations
import time:       420 |      64857 |         sqlalchemy.util
import time:       407 |        407 |                           sqlalchemy.event.registry
import time:       191 |        598 |                         sqlalchemy.event.legacy
import time:      1784 |       2381 |                       sqlalchemy.event.attr
import time:       423 |       2804 |                     sqlalchemy.event.base
import time:       175 |       2978 |                   sqlalchemy.event.api
import time:       113 |       3091 |                 sqlalchemy.event
import time:       317 |        317 |                       sqlalchemy.log
import time:      2019 |       2336 |                     sqlalchemy.pool.base
import time:       769 |       3104 |                   sqlalchemy.pool.events
import time:       312 |        312 |                     sqlalchemy.util.queue
import time:       478 |        789 |                   sqlalchemy.pool.impl
import time:       163 |       4055 |                 sqlalchemy.pool
import time:       718 |        718 |                       sqlalchemy.sql.roles
import time:       325 |        325 |                       sqlalchemy.inspection
import time:      1520 |       2561 |                     sqlalchemy.sql._typing
import time:       979 |        979 |                       sqlalchemy.sql.visitors
import time:      1061 |       1061 |                       sqlalchemy.sql.cache_key
import time:       787 |        787 |                         sqlalchemy.sql.operators
import time:       608 |       1394 |                       sqlalchemy.sql.traversals
import time:      2528 |       5960 |                     sqlalchemy.sql.base
import time:       335 |        335 |                         numbers
import time:      1318 |       1652 |                       sqlalchemy.sql.coercions
import time:       346 |        346 |                             sqlalchemy.sql.annotation
import time:       785 |        785 |                                   _decimal
import time:       245 |       1030 |                                 decimal
import time:      1538 |       1538 |                                 sqlalchemy.sql.type_api
import time:      6579 |       9146 |                               sqlalchemy.sql.elements
import time:       175 |        175 |                               sqlalchemy.util.topological
import time:      1729 |      11048 |                             sqlalchemy.sql.ddl
import time:       287 |        287 |                                         _json
import time:       335 |        621 |                                       json.scanner
import time:       436 |       1057 |                                     json.decoder
import time:       445 |        445 |                                     json.encoder
import time:       323 |       1824 |                                   json
import time:       299 |        299 |                                     _compat_pickle
import time:        97 |         97 |                                     _pickle
import time:       796 |       1191 |                                   pickle
import time:        67 |         67 |                                     _uuid
import time:       417 |        483 |                                   uuid
import time:       176 |        176 |                                     sqlalchemy.engine._py_processors
import time:       120 |        296 |                                   sqlalchemy.engine.processors
import time:      5240 |       9032 |                                 sqlalchemy.sql.sqltypes
import time:     13522 |      22553 |                               sqlalchemy.sql.selectable
import time:      5833 |      28386 |                             sqlalchemy.sql.schema
import time:       858 |      40637 |                           sqlalchemy.sql.util
import time:      1995 |      42631 |                         sqlalchemy.sql.dml
import time:       911 |      43542 |                       sqlalchemy.sql.crud
import time:      3649 |       3649 |                       sqlalchemy.sql.functions
import time:      5501 |      54342 |                     sqlalchemy.sql.compiler
import time:       114 |        114 |                       sqlalchemy.sql._dml_constructors
import time:       307 |        307 |                       sqlalchemy.sql._elements_constructors
import time:       288 |        288 |                       sqlalchemy.sql._selectable_constructors
import time:       955 |        955 |                       sqlalchemy.sql.lambdas
import time:       398 |       2061 |                     sqlalchemy.sql.expression
import time:       407 |        407 |                     sqlalchemy.sql.default_comparator
import time:       699 |        699 |                       sqlalchemy.sql.events
import time:       363 |       1061 |                     sqlalchemy.sql.naming
import time:      5307 |      71696 |                   sqlalchemy.sql
import time:        19 |      71714 |                 sqlalchemy.sql.compiler
import time:      2275 |      81134 |               sqlalchemy.engine.interfaces
import time:       278 |        278 |               sqlalchemy.engine.util
import time:      1250 |      82661 |             sqlalchemy.engine.base
import time:      1607 |      84268 |           sqlalchemy.engine.events
import time:       162 |        162 |               sqlalchemy.dialects
import time:       886 |       1047 |             sqlalchemy.engine.url
import time:       175 |        175 |             sqlalchemy.engine.mock
import time:       741 |       1963 |           sqlalchemy.engine.create
import time:       863 |        863 |               sqlalchemy.engine.row
import time:      1897 |       2760 |             sqlalchemy.engine.result
import time:       982 |       3742 |           sqlalchemy.engine.cursor
import time:      1836 |       1836 |           sqlalchemy.engine.reflection
import time:       292 |      92099 |         sqlalchemy.engine
import time:       195 |        195 |         sqlalchemy.schema
import time:       147 |        147 |         sqlalchemy.types
import time:       175 |        175 |           sqlalchemy.engine.characteristics
import time:      1278 |       1452 |         sqlalchemy.engine.default
import time:       542 |     161529 |       sqlalchemy
import time:       191 |        191 |         starlette
import time:      2601 |       2601 |             http
import time:       490 |       3090 |           starlette.exceptions
import time:       953 |       4042 |         starlette.status
import time:       345 |        345 |             annotated_doc.main
import time:       242 |        587 |           annotated_doc
import time:       325 |        325 |                 anyio._core
import time:      1254 |       1578 |               anyio._core._contextmanagers
import time:       904 |        904 |                 anyio._core._exceptions
import time:        83 |         83 |                 sniffio
import time:      1178 |       2164 |               anyio._core._eventloop
import time:       437 |        437 |                 anyio.to_thread
import time:      1594 |       1594 |                   anyio.abc._eventloop
import time:       342 |        342 |                   anyio.abc._resources
import time:       525 |        525 |                     anyio._core._typedattr
import time:      1039 |       1039 |                       anyio.abc._tasks
import time:      1332 |       2371 |                     anyio.abc._streams
import time:      1987 |       4882 |                   anyio.abc._sockets
import time:       403 |        403 |                   anyio.abc._subprocesses
import time:       389 |        389 |                   anyio.abc._testing
import time:      1567 |       1567 |                     anyio.lowlevel
import time:      1853 |       1853 |                     anyio._core._tasks
import time:       519 |        519 |                     anyio._core._testing
import time:      4999 |       8936 |                   anyio._core._synchronization
import time:      3100 |       3100 |                   anyio.from_thread
import time:       533 |      20176 |                 anyio.abc
import time:      5372 |      25984 |               anyio._core._fileio
import time:       309 |        309 |               anyio._core._resources
import time:       215 |        215 |               anyio._core._signals
import time:       165 |        165 |                   anyio.streams
import time:      1571 |       1735 |                 anyio.streams.stapled
import time:      2558 |       2558 |                 anyio.streams.tls
import time:      4318 |       8611 |               anyio._core._sockets
import time:      2901 |       2901 |                 anyio.streams.memory
import time:       431 |       3331 |               anyio._core._streams
import time:       862 |        862 |               anyio._core._subprocesses
import time:      2616 |       2616 |               anyio._core._tempfile
import time:      1216 |      46881 |             anyio
import time:      1000 |       1000 |                           pydantic_core._pydantic_core
import time:      7989 |       7989 |                           pydantic_core.core_schema
import time:       424 |       9412 |                         pydantic_core
import time:       117 |       9529 |                       pydantic.version
import time:       234 |       9763 |                     pydantic.warnings
import time:       264 |      10026 |                   pydantic._migration
import time:       123 |        123 |                       typing_inspection
import time:      1031 |       1031 |                       typing_inspection.typing_objects
import time:       840 |       1993 |                     typing_inspection.introspection
import time:       134 |        134 |                     pydantic._internal
import time:       335 |        335 |                         pydantic._internal._namespace_utils
import time:       440 |        775 |                       pydantic._internal._typing_extra
import time:       465 |       1239 |                     pydantic._internal._repr
import time:       436 |       3801 |                   pydantic.errors
import time:       366 |      14191 |                 pydantic
import time:        80 |         80 |                     pydantic._internal._internal_dataclass
import time:      1019 |       1099 |                   pydantic.aliases
import time:       791 |        791 |                   pydantic.config
import time:       274 |       2164 |                 pydantic._internal._config
import time:       221 |        221 |                   pydantic._internal._core_utils
import time:        95 |         95 |                     pydantic._internal._import_utils
import time:       902 |        996 |                   pydantic._internal._utils
import time:      2786 |       4002 |                 pydantic._internal._decorators
import time:       399 |        399 |                     pydantic._internal._forward_ref
import time:       509 |        907 |                   pydantic._internal._generics
import time:       170 |        170 |                   pydantic._internal._docs_extraction
