Running as unit: kivou-173-import-diagnostic.service; invocation ID: 4f6848fbf4b54b53b3f76edc9515c2b3
import time: self [us] | cumulative | imported package
import time:      4236 |      12777 |                                     sqlalchemy.dialects.postgresql.base
import time:       186 |        186 |                                       sqlalchemy.connectors
import time:       562 |        747 |                                     sqlalchemy.connectors.asyncio
import time:      1889 |      17322 |                                   sqlalchemy.dialects.postgresql.asyncpg
import time:      1252 |       1252 |                                   sqlalchemy.dialects.postgresql.pg8000
import time:       498 |        498 |                                     sqlalchemy.dialects.postgresql._psycopg_common
import time:      1272 |       1770 |                                   sqlalchemy.dialects.postgresql.psycopg
import time:       714 |        714 |                                   sqlalchemy.dialects.postgresql.psycopg2
import time:       312 |        312 |                                   sqlalchemy.dialects.postgresql.psycopg2cffi
import time:       434 |        434 |                                     sqlalchemy.dialects._typing
import time:      1312 |       1746 |                                   sqlalchemy.dialects.postgresql.dml
import time:       455 |      24353 |                                 sqlalchemy.dialects.postgresql
import time:       232 |        232 |                                         alembic.autogenerate.compare.util
import time:       196 |        196 |                                               alembic.operations.schemaobj
import time:       316 |        316 |                                                 alembic.operations.batch
import time:       564 |        880 |                                               alembic.operations.base
import time:      5515 |       6590 |                                             alembic.operations.ops
import time:       287 |       6876 |                                           alembic.operations.toimpl
import time:       117 |       6993 |                                         alembic.operations
import time:       218 |       7442 |                                       alembic.autogenerate.compare.check_constraints
import time:       214 |        214 |                                       alembic.autogenerate.compare.comments
import time:       371 |        371 |                                       alembic.autogenerate.compare.constraints
import time:       109 |        109 |                                       alembic.autogenerate.compare.schema
import time:       145 |        145 |                                       alembic.autogenerate.compare.server_defaults
import time:       176 |        176 |                                       alembic.autogenerate.compare.tables
import time:        95 |         95 |                                       alembic.autogenerate.compare.types
import time:      2820 |       2820 |                                       alembic.runtime.plugins
import time:       302 |      11668 |                                     alembic.autogenerate.compare
import time:       516 |        516 |                                     alembic.autogenerate.render
import time:       966 |      13149 |                                   alembic.autogenerate.api
import time:       525 |        525 |                                   alembic.autogenerate.rewriter
import time:       190 |      13863 |                                 alembic.autogenerate
import time:      1730 |      39945 |                               alembic.ddl.postgresql
import time:       272 |        272 |                               alembic.ddl.sqlite
import time:       195 |      80427 |                             alembic.ddl
import time:       740 |      81273 |                           alembic.runtime.migration
import time:      1288 |       1288 |                                 alembic.script.revision
import time:       180 |        180 |                                 alembic.script.write_hooks
import time:       912 |       2379 |                               alembic.script.base
import time:       126 |       2504 |                             alembic.script
import time:        19 |       2523 |                           alembic.script.revision
import time:       730 |      84620 |                         alembic.runtime.environment
import time:      1826 |      86445 |                       alembic.context
import time:      2629 |       2629 |                       alembic.op
import time:       203 |      89277 |                     alembic
import time:       555 |        555 |                     alembic.command
import time:       673 |        673 |                         gettext
import time:      1196 |       1869 |                       argparse
import time:       622 |       2491 |                     alembic.config
import time:       361 |      92682 |                   signals.persistence.database
import time:      8050 |       8050 |                             signals.domain.values
import time:      4707 |      12756 |                           signals.domain.events
import time:      3883 |      16638 |                         signals.domain.awards
import time:      1548 |       1548 |                         signals.domain.companies
import time:      1370 |       1370 |                         signals.domain.evidence
import time:       178 |      19733 |                       signals.domain
import time:        17 |      19749 |                     signals.domain.awards
import time:       157 |      19905 |                   signals.persistence.identity
import time:       328 |        328 |                               sqlalchemy.dialects.sqlite.json
import time:      1963 |       2290 |                             sqlalchemy.dialects.sqlite.base
import time:       509 |        509 |                             sqlalchemy.dialects.sqlite.pysqlite
import time:       571 |       3369 |                           sqlalchemy.dialects.sqlite.aiosqlite
import time:       169 |        169 |                           sqlalchemy.dialects.sqlite.pysqlcipher
import time:       783 |        783 |                           sqlalchemy.dialects.sqlite.dml
import time:       334 |       4653 |                         sqlalchemy.dialects.sqlite
import time:     30812 |      35464 |                       signals.persistence.schema
import time:       989 |      36453 |                     signals.persistence.opportunity
import time:      1598 |      38050 |                   signals.persistence.materialization
import time:      5105 |       5105 |                   signals.persistence.repository
import time:       262 |     156002 |                 signals.persistence
import time:       353 |     156354 |               signals.persistence.conflicts
import time:      4635 |     176351 |             signals.acquisition.store
import time:      1100 |       1100 |             signals.campaigns.factory
import time:      4713 |       4713 |             signals.campaigns.store
import time:      4324 |       4324 |               signals.campaigns.envelope
import time:       246 |        246 |                   httpx.__version__
import time:       152 |        152 |                             urllib.response
import time:       196 |        347 |                           urllib.error
import time:      1693 |       2040 |                         urllib.request
import time:      1314 |       1314 |                         httpx._exceptions
import time:      2481 |       2481 |                           http.cookiejar
import time:      2003 |       2003 |                               httpx._types
import time:      1667 |       1667 |                               httpx._utils
import time:      2077 |       5746 |                             httpx._multipart
import time:      1737 |       7483 |                           httpx._content
import time:       104 |        104 |                             brotli
import time:        59 |         59 |                             brotlicffi
import time:        43 |         43 |                             zstandard
import time:      2254 |       2458 |                           httpx._decoders
import time:      1496 |       1496 |                           httpx._status_codes
import time:      4619 |       4619 |                             httpx._urlparse
import time:      2860 |       7478 |                           httpx._urls
import time:      7254 |      28648 |                         httpx._models
import time:      2236 |      34236 |                       httpx._auth
import time:      1368 |       1368 |                       httpx._config
import time:       486 |        486 |                             httpx._transports.base
import time:      1215 |       1700 |                           httpx._transports.asgi
import time:      2040 |       2040 |                           httpx._transports.default
import time:       619 |        619 |                           httpx._transports.mock
import time:       839 |        839 |                           httpx._transports.wsgi
import time:       270 |       5466 |                         httpx._transports
import time:        30 |       5496 |                       httpx._transports.base
import time:     10234 |      51333 |                     httpx._client
import time:      1100 |      52432 |                   httpx._api
import time:      3256 |       3256 |                           click._compat
import time:       485 |        485 |                             click.globals
import time:      2376 |       2376 |                             click.utils
import time:      2039 |       4900 |                           click.exceptions
import time:      7018 |      15173 |                         click.types
import time:       547 |        547 |                         click._utils
import time:      2542 |       2542 |                           click.parser
import time:      2074 |       4616 |                         click.formatting
import time:      2823 |       2823 |                         click.termui
import time:     16445 |      39601 |                       click.core
import time:      3136 |       3136 |                       click.decorators
import time:       741 |      43478 |                     click
import time:        98 |         98 |                       rich
import time:        28 |        126 |                     rich.console
import time:      2684 |      46286 |                   httpx._main
import time:       765 |      99729 |                 httpx
import time:      7999 |     107727 |               signals.campaigns.instantly
import time:     15043 |      15043 |                     signals.compliance.contracts
import time:      1764 |       1764 |                     signals.compliance.rules
import time:       345 |      17151 |                   signals.compliance
import time:        44 |      17194 |                 signals.compliance.contracts
import time:      1180 |       1180 |                 signals.compliance.jurisdiction
import time:      1605 |       1605 |                   signals.compliance.suppression
import time:       190 |        190 |                     signals.contact_discovery
import time:     19751 |      19751 |                     signals.contact_discovery.contracts
import time:       611 |        611 |                     signals.contact_discovery.identity
import time:      3821 |      24371 |                   signals.contact_discovery.store
import time:      2069 |      28044 |                 signals.compliance.store
import time:      3599 |       3599 |                     signals.conversion.contracts
import time:       304 |       3902 |                   signals.conversion
import time:      3214 |       3214 |                   signals.conversion.token
import time:      1070 |       8184 |                 signals.conversion.link
import time:       148 |        148 |                       signals.ingestion
import time:       772 |        920 |                     signals.ingestion.persisted
import time:      5250 |       5250 |                           signals.needs.model
import time:       309 |        309 |                               signals.understanding.cpv
import time:       759 |        759 |                                 signals.understanding.bkp
import time:      6798 |       6798 |                                 signals.understanding.model
import time:       894 |        894 |                                 signals.understanding.object_text
import time:      1015 |       1015 |                                 signals.understanding.text
import time:       563 |      10027 |                               signals.understanding.engine
import time:       259 |      10594 |                             signals.understanding
import time:        29 |      10623 |                           signals.understanding.model
import time:      1330 |      17202 |                         signals.needs.features
import time:       930 |        930 |                         signals.needs.rules
import time:      1054 |      19185 |                       signals.needs.engine
import time:       205 |      19390 |                     signals.needs
import time:      2412 |      22720 |                   signals.supplier_discovery.seed
import time:      1811 |      24531 |                 signals.conversion.source
import time:     15637 |      15637 |                     signals.operations.contracts
import time:       273 |      15910 |                   signals.operations
import time:      2937 |       2937 |                   signals.operations.store
import time:     96565 |     115410 |                 signals.operations.circuit_breakers
import time:      1756 |       1756 |                   signals.policy.store
import time:      3291 |       5046 |                 signals.policy.gateway
import time:     11808 |     211395 |               signals.campaigns.service
import time:      5981 |     329425 |             signals.campaigns.worker
import time:     11271 |     522858 |           signals.campaigns.webhooks
import time:     13607 |      13607 |               signals.responses.contracts
import time:       418 |      14025 |             signals.responses
import time:        41 |      14065 |           signals.responses.contracts
import time:      1438 |       1438 |             signals.responses.classifier
import time:      7037 |       7037 |             signals.responses.instantly_email
import time:       493 |        493 |                 _markupbase
import time:      1514 |       2007 |               html.parser
import time:      1990 |       3996 |             signals.responses.normalization
import time:      3430 |       3430 |             signals.responses.safety
import time:      3895 |       3895 |             signals.responses.store
import time:      6647 |      26440 |           signals.responses.service
import time:      2985 |     710038 |         signals.campaigns.runtime_webhook
import time:      4864 |     714902 |       signals.api.config
import time:      2678 |       2678 |             signals.accounts.schema
import time:       742 |       3420 |           signals.accounts.ownership
import time:       199 |       3618 |         signals.accounts
import time:       935 |        935 |         signals.accounts.data_rights
import time:      4069 |       4069 |                     signals.matching.icp
import time:      3478 |       3478 |                     signals.matching.model
import time:      1281 |       8827 |                   signals.matching.engine
import time:       574 |        574 |                   signals.matching.reference
import time:       140 |       9540 |                 signals.matching
import time:        17 |       9557 |               signals.matching.icp
import time:      5669 |      15225 |             signals.accounts.icp_input
import time:       247 |        247 |                 argon2.exceptions
import time:       493 |        493 |                       _cffi_backend
import time:       306 |        799 |                     _argon2_cffi_bindings._ffi
import time:       144 |        943 |                   _argon2_cffi_bindings
import time:       375 |       1317 |                 argon2.low_level
import time:       651 |        651 |                   argon2._utils
import time:       193 |        843 |                 argon2.profiles
import time:       172 |        172 |                   argon2._password_hasher
import time:       182 |        354 |                 argon2._legacy
import time:       268 |       3028 |               argon2
import time:       312 |       3339 |             signals.accounts.passwords
import time:       109 |        109 |             signals.accounts.tokens
import time:      2992 |      21664 |           signals.accounts.service
import time:       500 |        500 |           signals.api.errors
import time:       614 |      22777 |         signals.api.dependencies
import time:      3670 |       3670 |                 pydantic.v1.typing
import time:      3704 |       7374 |               pydantic.v1.errors
import time:       124 |        124 |                   cython
import time:       662 |        786 |                 pydantic.v1.version
import time:      6136 |       6922 |               pydantic.v1.utils
import time:      2921 |      17215 |             pydantic.v1.class_validators
import time:      2298 |       2298 |             pydantic.v1.config
import time:      4135 |       4135 |                 pydantic.v1.color
import time:      3053 |       3053 |                     pydantic.v1.datetime_parse
import time:      4475 |       7527 |                   pydantic.v1.validators
import time:      5195 |      12722 |                 pydantic.v1.networks
import time:      9211 |       9211 |                 pydantic.v1.types
import time:      1127 |      27193 |               pydantic.v1.json
import time:      1762 |      28955 |             pydantic.v1.error_wrappers
import time:      8784 |       8784 |             pydantic.v1.fields
import time:      1217 |       1217 |               pydantic.v1.parse
import time:      8099 |       8099 |               pydantic.v1.schema
import time:      8767 |      18082 |             pydantic.v1.main
import time:      3988 |      79321 |           pydantic.v1.dataclasses
import time:       946 |        946 |           pydantic.v1.annotated_types
import time:      2559 |       2559 |           pydantic.v1.decorator
import time:      3287 |       3287 |           pydantic.v1.env_settings
import time:       992 |        992 |           pydantic.v1.tools
import time:       760 |      87862 |         pydantic.v1
import time:      3939 |     119130 |       signals.api.routes_account_data
import time:      3350 |       3350 |                   signals.alerts.gateway
import time:      5887 |       5887 |                         signals.engagement.schema
import time:      1149 |       7035 |                       signals.engagement.analytics
import time:      1899 |       1899 |                               signals.billing.schema
import time:      1514 |       1514 |                                 signals.billing.catalogue
import time:      4951 |       4951 |                                 signals.billing.gateway
import time:      2274 |       8739 |                               signals.billing.service
import time:       887 |      11524 |                             signals.billing.attempts
import time:      1407 |       1407 |                             signals.billing.checkout
import time:       919 |        919 |                             signals.billing.webhooks
import time:       223 |      14071 |                           signals.billing
import time:        24 |      14095 |                         signals.billing.service
import time:      2541 |      16635 |                       signals.engagement.feedback
import time:       959 |        959 |                       signals.engagement.notifications
import time:       283 |      24910 |                     signals.engagement
import time:        34 |      24943 |                   signals.engagement.schema
import time:      3017 |      31309 |                 signals.alerts.delivery
import time:       749 |        749 |                       signals.feed.policy
import time:      1250 |       1250 |                         signals.domain.french_departments
import time:       494 |        494 |                         signals.engagement.status
import time:      1949 |       1949 |                         signals.feed.history
import time:       359 |        359 |                         signals.feed.text
import time:       195 |        195 |                           signals.personalization
import time:      7324 |       7519 |                         signals.personalization.for_you
import time:      8198 |      19767 |                       signals.feed.query
import time:     24259 |      24259 |                             signals.card_intelligence.contracts
import time:       617 |        617 |                             signals.card_intelligence.protocol
import time:       395 |      25270 |                           signals.card_intelligence
import time:        47 |      25316 |                         signals.card_intelligence.contracts
import time:      1136 |       1136 |                         signals.domain.cpv_labels
import time:       702 |        702 |                           signals.recency.claim
import time:      1138 |       1839 |                         signals.feed.copy
import time:       527 |        527 |                           signals.feed.french_departments
import time:       656 |        656 |                           signals.feed.location
import time:      1283 |       2466 |                         signals.feed.factual_display
import time:      3157 |      33912 |                       signals.feed.view
import time:       357 |      54783 |                     signals.feed
import time:      2352 |      57135 |                   signals.alerts.content
import time:       731 |        731 |                   signals.alerts.lease
import time:       364 |        364 |                   signals.alerts.policy
import time:      1351 |       1351 |                     signals.billing.discovery
import time:       848 |        848 |                     signals.billing.paywall
import time:      1468 |       3666 |                   signals.billing.access
import time:      1214 |       1214 |                   signals.runtime_events
import time:       286 |        286 |                       signals.transactional_email.links
import time:       193 |        478 |                     signals.transactional_email
import time:        19 |        496 |                   signals.transactional_email.links
import time:      6174 |      69778 |                 signals.alerts.job
import time:       376 |     101462 |               signals.alerts
import time:        25 |     101487 |             signals.alerts.gateway
import time:      1050 |     102536 |           signals.accounts.reset_delivery
import time:     13520 |     116055 |         signals.api.routes_auth
import time:      2871 |       2871 |         signals.ingestion.backfill
import time:      2635 |     121560 |       signals.api.routes_attribution
import time:      1962 |       1962 |         signals.billing.plan_change
import time:      5767 |       7729 |       signals.api.routes_billing
import time:       139 |        139 |             signals.companies
import time:     11418 |      11557 |           signals.companies.contracts
import time:       580 |      12136 |         signals.api.cards
import time:      3032 |       3032 |           signals.card_intelligence.input
import time:      1881 |       1881 |             signals.card_intelligence.fallback
import time:     14730 |      16610 |           signals.card_intelligence.validation
import time:      1898 |       1898 |               signals.qa_signals.contracts
import time:       380 |        380 |               signals.qa_signals.protocol
import time:       311 |       2587 |             signals.qa_signals
import time:        35 |       2622 |           signals.qa_signals.contracts
import time:      8998 |      31261 |         signals.card_intelligence.store
import time:      1799 |       1799 |           signals.companies.france
import time:      2377 |       2377 |           signals.companies.identity
import time:      1480 |       1480 |           signals.companies.indexing
import time:      1655 |       1655 |           signals.companies.schema
import time:      2505 |       2505 |           signals.companies.store
import time:      3245 |      13059 |         signals.companies.enrichment
import time:      2680 |       2680 |           signals.companies.service
import time:      2110 |       2110 |           signals.engagement.company
import time:      4411 |       9200 |         signals.companies.listing
import time:      8177 |      73832 |       signals.api.routes_companies
import time:       188 |        188 |           signals.dashboard
import time:      1903 |       2090 |         signals.dashboard.service
import time:       433 |        433 |         signals.domain.subdivisions
import time:      1637 |       4159 |       signals.api.routes_dashboard
import time:      4085 |       4085 |       signals.api.routes_feedback
import time:      8788 |       8788 |       signals.api.routes_icp
import time:      1410 |       1410 |         signals.engagement.notes
import time:      2749 |       4159 |       signals.api.routes_notes
import time:      2378 |       2378 |       signals.api.routes_notifications
import time:      2502 |       2502 |         signals.feed.filters
import time:     10649 |      13150 |       signals.api.routes_signals
import time:      2107 |       2107 |       signals.api.routes_webhooks
import time:      8222 |       8222 |           signals.cockpit.contracts
import time:      7329 |       7329 |             signals.cockpit.metrics
import time:       621 |       7949 |           signals.cockpit.service
import time:       323 |      16493 |         signals.cockpit
import time:      2593 |      19085 |       signals.cockpit.api
import time:      2899 |       2899 |       signals.conversion.milestones
import time:      2952 |       2952 |       signals.conversion.service
import time:      2786 |       2786 |       signals.operations.api
import time:       238 |        238 |           signals.acquisition_runtime
import time:     16496 |      16733 |         signals.acquisition_runtime.contracts
import time:      8087 |       8087 |         signals.acquisition_runtime.store
import time:      1196 |       1196 |           signals.supervisor.pin
import time:       761 |       1956 |         signals.operations.health
import time:       622 |        622 |         signals.operations.readiness
import time:      3759 |      31156 |       signals.operations.service
import time:      1818 |    1678355 |     signals.api.app
import time:      1271 |    1679826 |   signals.api
import time:       671 |    1680496 | signals.api.asgi
boot_import_elapsed=2.26
Finished with result: success
Main processes terminated with: code=exited/status=0
Service runtime: 2.277s
CPU time consumed: 2.261s
Memory peak: 304.0K
Memory swap peak: 0B
